nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Justice;12.161949094;;;;
Travail et emploi;22.660984733;;;;
Intérieur;33.933158677;;0.36584032;;
Europe et affaires étrangères;6.947642379;;;;
Transition écologique, énergie, climat et prévention des risques;34.101964982;2.26298526;0.666844;0.3672;
Budget et comptes publics;230.599652049;;78.413073706;148.7344022;
Solidarités, autonomie et égalité entre les femmes et les hommes;31.021490772;;;;
Services du Premier ministre;10.936227054;0.15162944;;0.011;
Culture;4.641067353;;;;
Éducation nationale;86.207555078;;;;
Agriculture, souveraineté alimentaire et forêt;6.885607065;;0.146;;
Armées et anciens combattants;58.745044713;;;;
Fonction publique, simplification et transformation de l'action publique;0.567854383;;;;
Enseignement supérieur et recherche;26.708818202;;;;
Transition énergétique;12.267639392;;0.36;;
Santé et accès aux soins;2.73578126;;;;
Sports, jeunesse et vie associative;0.908723132;;;;
