nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Justice;14.237842944;;;;
Travail et emploi;22.966701489;;;;
Immigration, asile et intégration;1.764838073;;;;
Action extérieure de l'État;3.508835496;;;;
Cohésion des territoires;19.593278322;;;;
Aide publique au développement;6.292613383;;;;
Écologie, développement et mobilité durables;24.103120769;;;;
Engagements financiers de l'État;54.1555023;;;;
Relations avec les collectivités territoriales;4.095742461;;;;
Outre-mer;3.18107285;;;;
Solidarité, insertion et égalité des chances;31.000970689;;;;
Conseil et contrôle de l'État;0.818520336;;;;
Direction de l'action du Gouvernement;1.021145511;;;;
Culture;4.188062125;;;;
Économie;4.233379086;;;;
Enseignement scolaire;87.105635877;;;;
Recherche et enseignement supérieur;32.339171783;;;;
Défense;67.841100188;;;;
Transformation et fonction publiques;1.253548967;;;;
Agriculture, alimentation, forêt et affaires rurales;5.337914469;;;;
Sécurités;25.405637265;;;;
Gestion des finances publiques;10.81137652;;;;
Anciens combattants, mémoire et liens avec la Nation;1.918297119;;;;
Sport, jeunesse et vie associative;1.719081571;;;;
Médias, livre et industries culturelles;0.741875244;;;;
Santé;2.73248126;;;;
Régimes sociaux et de retraite;6.228688531;;;;
Remboursements et dégrèvements;140.480167;;;;
Administration générale et territoriale de l'État;5.59559711;;;;
Plan de relance;;;;;
Investir pour la France de 2030;;;;;
Pouvoirs publics;1.1378427;;;;
Crédits non répartis;0.810526;;;;
Contrôle et exploitation aériens;;2.45119713;;;
Publications officielles et information administrative;;0.15916736;;;
Gestion du patrimoine immobilier de l'État;;;0.34;;
Participations financières de l'État;;;9.86195;;
Pensions;;;67.583733706;;
Contrôle de la circulation et du stationnement routiers;;;1.66007432;;
Développement agricole et rural;;;0.146;;
Financement des aides aux collectivités pour l'électrification rurale;;;0.36;;
Prêts et avances à divers services de l'État ou organismes gérant des services publics;;;;10.533217;
Avances aux collectivités territoriales;;;;132.90028;
Avances à l'audiovisuel public;;;;4.0267302;
Prêts à des États étrangers;;;;1.287122;
Prêts et avances à des particuliers ou à des organismes privés;;;;0.37505;
