nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Justice;12.161949094;;;;
Travail et emploi;22.660984733;;;;
Immigration, asile et intégration;2.156501733;;;;
Action extérieure de l'État;3.506629696;;;;
Cohésion des territoires;19.186932846;;;;
Aide publique au développement;5.928921683;;;;
Écologie, développement et mobilité durables;21.618032845;;;;
Engagements financiers de l'État;60.8181213;;;;
Relations avec les collectivités territoriales;3.961391211;;;;
Outre-mer;2.80445936;;;;
Solidarité, insertion et égalité des chances;31.098899432;;;;
Conseil et contrôle de l'État;0.883557046;;;;
Direction de l'action du Gouvernement;1.052837201;;;;
Culture;3.905119409;;;;
Économie;4.293251256;;;;
Enseignement scolaire;87.002154377;;;;
Recherche et enseignement supérieur;31.839145198;;;;
Défense;56.755709303;;;;
Transformation et fonction publiques;1.095722873;;;;
Agriculture, alimentation, forêt et affaires rurales;4.746929189;;;;
Sécurités;24.315078125;;;;
Gestion des finances publiques;10.89983815;;;;
Anciens combattants, mémoire et liens avec la Nation;1.927457119;;;;
Sport, jeunesse et vie associative;1.809793464;;;;
Médias, livre et industries culturelles;0.735947944;;;;
Santé;2.73578126;;;;
Régimes sociaux et de retraite;6.228688531;;;;
Remboursements et dégrèvements;140.480167;;;;
Administration générale et territoriale de l'État;4.657119459;;;;
Plan de relance;1.413960781;;;;
Investir pour la France de 2030;7.70171;;;;
Pouvoirs publics;1.1378427;;;;
Crédits non répartis;0.510526;;;;
Contrôle et exploitation aériens;;2.26298526;;;
Publications officielles et information administrative;;0.15162944;;;
Gestion du patrimoine immobilier de l'État;;;0.34;;
Participations financières de l'État;;;9.86195;;
Pensions;;;67.583733706;;
Contrôle de la circulation et du stationnement routiers;;;1.66007432;;
Développement agricole et rural;;;0.146;;
Financement des aides aux collectivités pour l'électrification rurale;;;0.36;;
Prêts et avances à divers services de l'État ou organismes gérant des services publics;;;;10.533217;
Avances aux collectivités territoriales;;;;132.90028;
Avances à l'audiovisuel public;;;;4.0267302;
Prêts à des États étrangers;;;;1.199125;
Prêts et avances à des particuliers ou à des organismes privés;;;;0.45325;
