nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Justice;14.237842944;;;;
Travail et emploi;22.966701489;;;;
Intérieur;35.947145298;;0.36584032;;
Europe et affaires étrangères;6.864319879;;;;
Transition écologique, énergie, climat et prévention des risques;36.005431414;2.45119713;0.666844;0.3;
Budget et comptes publics;223.295433678;;78.413073706;148.8223992;
Solidarités, autonomie et égalité entre les femmes et les hommes;30.923562029;;;;
Services du Premier ministre;3.223081272;0.15916736;;;
Culture;4.929937369;;;;
Éducation nationale;86.309320078;;;;
Agriculture, souveraineté alimentaire et forêt;7.480401045;;0.146;;
Armées et anciens combattants;69.821275598;;;;
Fonction publique, simplification et transformation de l'action publique;0.543705267;;;;
Enseignement supérieur et recherche;27.277152587;;;;
Transition énergétique;13.244764992;;0.36;;
Santé et accès aux soins;2.73248126;;;;
Sports, jeunesse et vie associative;0.818011239;;;;
