Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_AE_Ouvertes;AE_Consommees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 2 - Dépenses de personnel;789227766;-14436636;0;-1690863;0;0;773100267;768754525,17;0;4345741,83;0
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Autres titres - Autres dépenses;1476353629;-152902705;48179756,51;29924996;27481802,02;0;1429037478,53;1351158293,07;0;11195520,2;66683665,26
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 2 - Dépenses de personnel;84794416;-778933;0;1650000;0;0;85665483;84682883,75;0;982599,25;0
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Autres titres - Autres dépenses;721177779;-48488511;418948;5801789;4601923,39;0;683511928,39;682219106,66;0;1069195,73;223626
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Titre 2 - Dépenses de personnel;271654955;-11293036;0;1683456;1559759,82;0;263605134,82;261083758,79;0;2521376,03;0
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Autres titres - Autres dépenses;165626747;-4873794;770105;596914;125808,86;0;162245780,86;154163662,72;0;7306397,14;775721
Administration générale et territoriale de l'État;Administration territoriale de l'État - 354;Titre 2 - Dépenses de personnel;2033587883;-11863410;0;6635796;0;-1907098;2026453171;2024766513,93;0;1686657,07;0
Administration générale et territoriale de l'État;Administration territoriale de l'État - 354;Autres titres - Autres dépenses;599655251;-38240260;47976181,16;-10929323;40134118,62;1907098;640503065,78;520839166,97;0;105373206,13;14290692,68
Administration générale et territoriale de l'État;Conduite et pilotage des politiques de l'intérieur - 216;Titre 2 - Dépenses de personnel;861202618;-25275292;0;581309;1112899,73;-2854589;834766945,73;833965407,35;0;646732,38;154806
Administration générale et territoriale de l'État;Conduite et pilotage des politiques de l'intérieur - 216;Autres titres - Autres dépenses;1843430891;-105788075;167954123,53;-17609618;19200899;2854589;1910042809,53;1559514391,91;0;64754378,87;285774038,75
Administration générale et territoriale de l'État;Vie politique - 232;Titre 2 - Dépenses de personnel;23844604;-843491;0;7100000;0;-4493613;25607500;24823197,66;0;784302,34;0
Administration générale et territoriale de l'État;Vie politique - 232;Autres titres - Autres dépenses;233880648;105492436;8516028;43846494;0;4493613;396229219;333208059,99;0;32959712,01;30061447
Agriculture, alimentation, forêt et affaires rurales;Allègements du coût du travail en agriculture (TODE-AG) - 381;Autres titres - Autres dépenses;423000000;15427824;0;0;0;0;438427824;438427824;0;0;0
Agriculture, alimentation, forêt et affaires rurales;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt - 149;Autres titres - Autres dépenses;3176627486;-118081117;83150772;2685714;1323837;0;3145706692;3055290947,19;0;89655386,44;760358,37
