Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_CP_Ouverts;Depenses_constatees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 2 - Dépenses de personnel;789227766;-14436636;0;-1690863;0;0;773100267;768754525,17;0;4345741,83;0
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Autres titres - Autres dépenses;1474547842;-152902705;32746806;22588996;27481802,02;0;1404462741,02;1336284314,54;0;22401086,48;45777340
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 2 - Dépenses de personnel;84794416;-778933;0;1650000;0;0;85665483;84682883,75;0;982599,25;0
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Autres titres - Autres dépenses;721177779;-48488512;2054600;5801789;4601923,39;0;685147579,39;684898303,02;0;25650,37;223626
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Titre 2 - Dépenses de personnel;271654955;-11293036;0;1683456;1559759,82;0;263605134,82;261083758,79;0;2521376,03;0
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Autres titres - Autres dépenses;165226747;-4851794;1738511;596914;125808,86;0;162836186,86;152844964,2;0;9214819,66;776403
Administration générale et territoriale de l'État;Administration territoriale de l'État - 354;Titre 2 - Dépenses de personnel;2033587883;-11863410;0;6635796;0;-1907098;2026453171;2024766513,93;0;1686657,07;0
Administration générale et territoriale de l'État;Administration territoriale de l'État - 354;Autres titres - Autres dépenses;549581743;-33240289;21994005;-7727798;40134118,62;1907098;572648877,62;569210524,86;0;137368,76;3300984
Administration générale et territoriale de l'État;Conduite et pilotage des politiques de l'intérieur - 216;Titre 2 - Dépenses de personnel;861202618;-25275292;0;581309;1112899,73;-2854589;834766945,73;833965407,35;0;646732,38;154806
Administration générale et territoriale de l'État;Conduite et pilotage des politiques de l'intérieur - 216;Autres titres - Autres dépenses;955125605;-172785943;89059294;-4619326;19200899;2854589;888835118;878937316,15;0;2991814,85;6905987
Administration générale et territoriale de l'État;Vie politique - 232;Titre 2 - Dépenses de personnel;23844604;-843491;0;7100000;0;-4493613;25607500;24823197,66;0;784302,34;0
Administration générale et territoriale de l'État;Vie politique - 232;Autres titres - Autres dépenses;233777145;104292473;11313439;43846494;0;4493613;397723164;330302684,01;0;37571366,99;29849113
Agriculture, alimentation, forêt et affaires rurales;Allègements du coût du travail en agriculture (TODE-AG) - 381;Autres titres - Autres dépenses;423000000;15427824;0;0;0;0;438427824;438427824;0;0;0
Agriculture, alimentation, forêt et affaires rurales;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt - 149;Autres titres - Autres dépenses;2735854589;18130969;125668069;16034208;1323837;0;2897011672;2573376458,28;0;141375213,72;182260000
Agriculture, alimentation, forêt et affaires rurales;Conduite et pilotage des politiques de l'agriculture - 215;Titre 2 - Dépenses de personnel;592437770;-55033706;0;3423697;18368,64;-1033953,96;539812175,68;537603175,45;0;2209000,23;0
Agriculture, alimentation, forêt et affaires rurales;Conduite et pilotage des politiques de l'agriculture - 215;Autres titres - Autres dépenses;89933434;-21061439;1941876;2220717;13467571,8;1033953,96;87536113,76;79064239,68;0;461184,08;8010690
Agriculture, alimentation, forêt et affaires rurales;Sécurité et qualité sanitaires de l'alimentation - 206;Titre 2 - Dépenses de personnel;390422289;-30008400;0;70000;0;0;360483889;358214381,42;0;2269507,58;0
Agriculture, alimentation, forêt et affaires rurales;Sécurité et qualité sanitaires de l'alimentation - 206;Autres titres - Autres dépenses;515281422;-104541694;194399634;-1204695;35225529,11;0;639160196,11;511632513,48;0;58401095,63;69126587
Aide publique au développement;Aide économique et financière au développement - 110;Autres titres - Autres dépenses;2337910235;-407257768;10642003;39537400;0;0;1980831870;1875414028,45;0;105417841,55;0
Aide publique au développement;Renforcement des fonds propres de l'Agence française de développement - 365;Autres titres - Autres dépenses;150000000;0;0;0;0;0;150000000;150000000;0;0;0
Aide publique au développement;Restitution des "biens mal acquis" - 370;Autres titres - Autres dépenses;6100806;0;0;0;0;0;6100806;0;0;0;6100806
Aide publique au développement;Solidarité à l'égard des pays en développement - 209;Titre 2 - Dépenses de personnel;169447597;-2915795;0;350000;0;0;166881802;163395195,12;0;3486606,88;0
Aide publique au développement;Solidarité à l'égard des pays en développement - 209;Autres titres - Autres dépenses;3265463377;-607000000;8750043;-29342110;4758427,4;0;2642629737,4;2633517710,69;0;2080406,71;7031620
Anciens combattants, mémoire et liens avec la Nation;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale - 158;Titre 2 - Dépenses de personnel;1467031;-9135;0;0;0;0;1457896;1436733,7;0;21162,3;0
Anciens combattants, mémoire et liens avec la Nation;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale - 158;Autres titres - Autres dépenses;86673804;-9581160;2141458;0;0;0;79234102;75510639,29;0;3723462,71;0
Anciens combattants, mémoire et liens avec la Nation;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation - 169;Autres titres - Autres dépenses;1839316624;31693091;8273720;462997;25796319,74;0;1905542751,74;1882210033,11;0;6889,63;23325829
Cohésion des territoires;Aide à l'accès au logement - 109;Autres titres - Autres dépenses;13656400000;-524191058;0;0;0;0;13132208942;13102208733;0;30000209;0
Cohésion des territoires;Hébergement, parcours vers le logement et insertion des personnes vulnérables - 177;Autres titres - Autres dépenses;2925669370;250000000;51201942;2725298;150000;0;3229746610;3131301573,86;0;13689830,14;84755206
Cohésion des territoires;Impulsion et coordination de la politique d'aménagement du territoire - 112;Titre 2 - Dépenses de personnel;8000000;-2333674;0;-603980;0;-655853,71;4406492,29;4192740,06;0;213752,23;0
Cohésion des territoires;Impulsion et coordination de la politique d'aménagement du territoire - 112;Autres titres - Autres dépenses;340520529;-41814412;2943802;34187562;49058224,86;655853,71;385551559,57;375437761,14;0;1205802,43;8907996
Cohésion des territoires;Interventions territoriales de l'État - 162;Autres titres - Autres dépenses;33151556;-12694865;89530556;20377222;107238650;0;237603119;141894257,52;0;96459,48;95612402
Cohésion des territoires;Politique de la ville - 147;Titre 2 - Dépenses de personnel;18871649;-1397930;0;-14771540;0;-1168726,27;1533452,73;1387402;0;146050,73;0
Cohésion des territoires;Politique de la ville - 147;Autres titres - Autres dépenses;620657504;-99064685;206060;13755000;520000;1168726,27;537242605,27;522711912,81;0;9530692,46;5000000
Cohésion des territoires;Urbanisme, territoires et amélioration de l'habitat - 135;Autres titres - Autres dépenses;1583661469;-740236893;753103095;122625398;287302201,52;0;2006455270,52;1217976346,57;0;1107979,95;787370944
Conseil et contrôle de l'État;Conseil d'État et autres juridictions administratives - 165;Titre 2 - Dépenses de personnel;436743672;-8278983;0;-601266;22867;0;427886290;424297546,56;0;3588743,44;0
Conseil et contrôle de l'État;Conseil d'État et autres juridictions administratives - 165;Autres titres - Autres dépenses;146659042;-12939195;5918112;-2401439;54427,58;0;137290947,58;136657201,3;0;0,28;633746
Conseil et contrôle de l'État;Conseil économique, social et environnemental - 126;Titre 2 - Dépenses de personnel;35829665;19312;0;0;0;0;35848977;35669828;0;179149;0
Conseil et contrôle de l'État;Conseil économique, social et environnemental - 126;Autres titres - Autres dépenses;9077507;1195641;275325;0;0;0;10548473;10548473;0;0;0
Conseil et contrôle de l'État;Cour des comptes et autres juridictions financières - 164;Titre 2 - Dépenses de personnel;227855284;-1115080;0;-2000000;40748,73;0;224780952,73;222714540,44;0;2066412,29;0
Conseil et contrôle de l'État;Cour des comptes et autres juridictions financières - 164;Autres titres - Autres dépenses;27391939;-2229917;1045328;-58910;4705054,95;0;30853494,95;30853285,35;0;209,6;0
Crédits non répartis;Dépenses accidentelles et imprévisibles - 552;Autres titres - Autres dépenses;225000000;-50000000;0;-119900000;0;0;55100000;0;0;55100000;0
Crédits non répartis;Provision relative aux rémunérations publiques - 551;Titre 2 - Dépenses de personnel;285526298;0;0;-75975617;0;0;209550681;0;0;209550681;0
Culture;Création - 131;Autres titres - Autres dépenses;1042653016;-97915612;1499479;28309117;113363,36;0;974659363,36;973937627,03;0;608373,33;113363
Culture;Patrimoines - 175;Autres titres - Autres dépenses;1193810999;-99540106;115047933;16314250;112496821,53;0;1338129897,53;1250576676,49;0;6169842,04;81383379
Culture;Soutien aux politiques du ministère de la culture - 224;Titre 2 - Dépenses de personnel;733781426;-1663905;0;-207875;9605,75;0;731919251,75;730395354,39;0;1523897,36;0
Culture;Soutien aux politiques du ministère de la culture - 224;Autres titres - Autres dépenses;110473939;-5581783;1416198;-4374635;930473,6;0;102864192,6;102829529,56;0;24662,04;10001
Culture;Transmission des savoirs et démocratisation de la culture - 361;Autres titres - Autres dépenses;824400514;-30797443;203538;13033846;1436641,04;0;808277096,04;806994985,91;0;297110,13;985000
Défense;Environnement et prospective de la politique de défense - 144;Autres titres - Autres dépenses;1967619198;-33000000;178850;71010959;1146012,13;0;2006955019,13;2006955015,73;0;3,4;0
Défense;Équipement des forces - 146;Autres titres - Autres dépenses;16591352498;-531950812;412831393;-33349956;622731598,5;0;17061614721,5;16713224479,05;0;0,45;348390242
Défense;Préparation et emploi des forces - 178;Autres titres - Autres dépenses;13562508731;677000000;1171122681;-51661024;517527680,87;0;15876498068,87;15048832910,08;0;0,79;827665158
Défense;Soutien de la politique de la défense - 212;Titre 2 - Dépenses de personnel;23205361658;-305752151;0;179106;275517991,14;-1719144;23173587460,14;23171355954,64;0;2231505,5;0
Défense;Soutien de la politique de la défense - 212;Autres titres - Autres dépenses;1428888458;-37600000;63632956;81166263;10920478,08;1719144;1548727299,08;1487811733,08;0;1;60915565
Direction de l'action du Gouvernement;Coordination du travail gouvernemental - 129;Titre 2 - Dépenses de personnel;293331006;-9803857;1126175;4013359;1564906,22;0;290231589,22;284096803,54;0;4744228,68;1390557
Direction de l'action du Gouvernement;Coordination du travail gouvernemental - 129;Autres titres - Autres dépenses;624102842;-42689722;108916225;-43741885;55814299,63;0;702401759,63;601625368,34;0;2667010,29;98109381
Direction de l'action du Gouvernement;Protection des droits et libertés - 308;Titre 2 - Dépenses de personnel;63729867;-1269530;0;0;0;0;62460337;61468825,55;0;991511,45;0
