Mission;Programme;Titre;Categorie;Depenses
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 2;21;587579920,7
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 2;22;173880434,69
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 2;23;7294169,78
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 3;31;392971495,37
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 5;51;82031924,17
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 5;52;3896129,41
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 6;61;3742469,29
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 6;62;3404194,38
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 6;64;850066060,15
Action extérieure de l'État;Action de la France en Europe et dans le monde - 105;Titre 7;71;172041,77
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 2;21;69281424,15
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 2;22;14294701,14
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 2;23;1106758,46
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 3;31;58099509,52
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 3;32;473881465
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 5;52;180863,3
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 6;61;53703890,45
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 6;62;16320226,13
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 6;63;78333
Action extérieure de l'État;Diplomatie culturelle et d'influence - 185;Titre 6;64;82634015,62
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Titre 2;21;213994643,22
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Titre 2;22;45979229
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Titre 2;23;1109886,57
Action extérieure de l'État;Français à l'étranger et affaires consulaires - 151;Titre 3;31;23893902,75
