Niveau hiérarchique de la ligne,Catégorie,Section,Ligne de prévision,Ligne d'exécution,LFI,LFR/LFG,Total des prévisions,Total des recouvrements,Total des recettes**
0,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,,93364477675,-5196509310,88167968365,0,0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110101 - Créances antérieures à 1998,0,0,0,"10690400,58",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110102 - Créances postérieures à 1997,0,0,0,"20351153626,92",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110103 - Imposition des plus-values - Prélèvement dû par les particuliers (CGI art 200B),0,0,0,"877951117,68",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110104 - Prélèvement à la source obligatoire non libératoire sur les dividendes et revenus assimilés et sur les produits de placement à revenu fixe,0,0,0,"7505597039,77",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110105 - Prélèvement à la source - acompte contemporain et acompte de confidentialité,0,0,0,19105257999,0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110106 - Prélèvement à la source - Collecteurs,0,0,0,"58692450393,66",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110107 - Prélèvement à la source - DGFIP payeur,0,0,0,"7907683474,31",0
2,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu (total),1101 - Impôt sur le revenu (total),93364477675,-5196509310,88167968365,"114450784051,92",0
3,Recettes fiscales,11 - Impôt sur le revenu (total),11 - Impôt sur le revenu (total),11 - Impôt sur le revenu (total),93364477675,-5196509310,88167968365,"114450784051,92","87987247678,47"
0,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,,2632399489,215900511,2848300000,0,0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120101 - Autres impôts d'État Créances antérieures à 1998,0,0,0,"3724458,38",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120102 - Autres impôts d'État Créances postérieures à 1997,0,0,0,"884242696,12",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120103 - Autres impôts d'État - Produits compris dans les rôles d'impôts locaux (créances postérieures à 1997),0,0,0,"398527032,57",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120106 - Autres impôts d'État - Produits compris dans les rôles de taxe sur les logements vacants,0,0,0,"12124664,07",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120107 - Frais d'assiette et de recouvrement des impôts sur rôles établis au profit des collectivités territoriales pour les produits compris dans les rôles d'IR,0,0,0,"180521355,19",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120108 - Frais d'assiette et de recouvrement des impôts sur rôles établis au profit des collectivités territoriales pour les produits compris dans les rôles d'impôts locaux,0,0,0,"344212419,33",0
