Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
040101;Exonération en faveur des entreprises réalisant certaines opérations en ZRR pouvant ouvrir droit à une exonération de CFE en l’absence de délibération contraire d’une commune ou d’un EPCI;Cotisation sur la valeur ajoutée des entreprises;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;1;1
040107;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2006 dans les ZFU de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de zones franches urbaines peuvent être exonérés de cotisation foncière des entreprises en l'absence de délibération contraire d'une commune ou d'un établissement public de coopération intercommunale;Cotisation sur la valeur ajoutée des entreprises;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;4;3
040108;Abattement en faveur des entreprises dont les établissements situés dans les départements d’outre-mer peuvent bénéficier d’un abattement sur leurs bases nettes imposables à la CFE;Cotisation sur la valeur ajoutée des entreprises;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;20;15;5
040109;Exonération en faveur des entreprises dont les établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendues entre le 1er janvier 2015 et le 31 décembre 2024 dans un QPV peuvent être exonérés de CFE;Cotisation sur la valeur ajoutée des entreprises;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;ε;ε
040110;Exonération de cotisation sur la valeur ajoutée en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;Cotisation sur la valeur ajoutée des entreprises;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;4;1
040111;Exonération en faveur des établissements créés dans un bassin urbain à dynamiser (BUD) pouvant bénéficier de l’exonération de CFE;Cotisation sur la valeur ajoutée des entreprises;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
040112;Exonération en faveur des établissements dans une zone de développement prioritaire (ZDP) pouvant bénéficier de l’exonération de CFE;Cotisation sur la valeur ajoutée des entreprises;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;N/A;N/A
040113;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR) pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Cotisation sur la valeur ajoutée des entreprises;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;N/A;N/A
050101;Exonération en faveur des personnes âgées ou de condition modeste;Taxe foncière sur les propriétés bâties;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;29;29;31
050102;Exonération en faveur des immeubles à caractère social;Taxe foncière sur les propriétés bâties;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;45;45;53
050106;Abattement en faveur des immeubles en ZUS (jusqu'en 2015) puis situés dans les quartiers prioritaires de la ville (à compter de 2016);Taxe foncière sur les propriétés bâties;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;121;121;126
050107;Abattement en faveur des immeubles anti-sismiques des départements d'outre-mer;Taxe foncière sur les propriétés bâties;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
050109;Abattement sur la base d'imposition des établissements situés dans les départements d'outre-mer;Taxe foncière sur les propriétés bâties;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;13;13;13
050110;Exonération des immeubles situés dans un quartier prioritaire de la politique de la ville (QPV) et rattachés à un établissement implanté dans un QPV pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Taxe foncière sur les propriétés bâties;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
050111;Exonération des immeubles situés dans un bassin urbain à dynamiser (BUD) et rattachés à un établissement implanté dans un BUD pouvant bénéficier de l’exonération de CFE;Taxe foncière sur les propriétés bâties;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
050112;Exonération des immeubles situés dans une zone de développement prioritaire (ZDP) et rattachés à un établissement implanté dans une ZDP pouvant bénéficier de l’exonération de CFE;Taxe foncière sur les propriétés bâties;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;ε;N/A
050113;Exonération des immeubles situés dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR) et rattachés à un établissement implanté dans une ZoRCoMiR pouvant bénéficier de l'exonération de cotisation foncière des entreprises;Taxe foncière sur les propriétés bâties;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
050201;Dégrèvement d'office en faveur des personnes de condition modeste 65-75 ans;Taxe foncière sur les propriétés bâties;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;34;35;35
050202;Dépenses pour faciliter l'accessibilité pour personnes handicapées;Taxe foncière sur les propriétés bâties;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;196;nc;nc
050203;Dépenses engagées à raison de travaux dans le cadre de la prévention des risques technologiques;Taxe foncière sur les propriétés bâties;Écologie, développement et mobilité durables;181;Prévention des risques;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
050204;Dégrèvement égal au quart des dépenses à raison des travaux d'économie d'énergie, sur la cotisation de taxe foncière sur les propriétés bâties pour les organismes HLM et les SEM;Taxe foncière sur les propriétés bâties;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;156;134;156
060102;Exonération de la part communale et intercommunale en faveur des terres agricoles à concurrence de 20 %;Taxe foncière sur les propriétés non bâties;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;103;103;101
060103;Exonération en faveur des terrains plantés en bois;Taxe foncière sur les propriétés non bâties;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
060104;Exonération totale en faveur des terres agricoles situées en Corse;Taxe foncière sur les propriétés non bâties;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
060105;Exonération en faveur des zones humides;Taxe foncière sur les propriétés non bâties;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;N/A;N/A
060106;Exonération en faveur des parcelles NATURA 2000;Taxe foncière sur les propriétés non bâties;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;ε;1
060108;Exonération partielle des terres agricoles situées dans les départements d'outre-mer;Taxe foncière sur les propriétés non bâties;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;10;10;11
060201;Pertes de récoltes ou de bétail;Taxe foncière sur les propriétés non bâties;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;97;nc;nc
060202;Association foncière pastorale;Taxe foncière sur les propriétés non bâties;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;-;ε
060203;Dégrèvement d'office jeunes agriculteurs;Taxe foncière sur les propriétés non bâties;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;8;7;8
070201;Dégrèvement d'office en faveur des gestionnaires de foyers et des organismes sans but lucratif agréés pour les logements loués à des personnes défavorisées;Taxe d'habitation;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;93;93;33
