Année;Type de secteur;Mission;Code Programme;Programme;Code Externe Objectif;Libellé Objectif;Ordre Ind;Code Externe Indicateur;Libellé Indicateur;Facteur de performance;Code Interne Sous Indicateur;Libellé Sous Indicateur;Cotation;Unité;Cible;Exécution;Atteinte de la cible;commentaire
2024.0;Mission;Conseil et contrôle de l'État;;;MCA-2;Réduire les délais de jugement;1270.0;MCA-2-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;Usager;24553.0;devant le Conseil d'État;;année;;;cible atteinte;
2024.0;Mission;Recherche et enseignement supérieur;;;MRA-2;"Accroître la production scientifique des opérateurs de recherche et leur
_x000D_dynamisme autour des priorités nationales de recherche";4940.0;MRA-2-1;Production scientifique des opérateurs de la mission;Citoyen;23041.0;Part des publications de référence internationale des opérateurs de la mission dans la production scientifique mondiale;;%;2.3;;absence amélioration;Estimée
2022.0;Programme;Justice;166.0;Justice judiciaire;P166-1;Rendre une justice de qualité;4310.0;P166-1-2;Pourcentage des juridictions dépassant de 15% le délai moyen de traitement (cible) des procédures civiles;Usager;3793.0;Tribunaux judiciaires;NS;%;35.0;40.0;amélioration;
2023.0;Programme;Agriculture, alimentation, forêt et affaires rurales;215.0;Conduite et pilotage des politiques de l'agriculture;P215-2;Mettre en oeuvre les actions ministérielles dans des conditions optimales de coût et de qualité de service;680.0;P215-2-1;Efficience de la fonction immobilière;Contribuable;19873.0;Ratio entretien courant / SUB;;€/m²;27.44;33.2;absence amélioration;
2022.0;Programme;Recherche et enseignement supérieur;142.0;Enseignement supérieur et recherche agricoles;P142-2;Organiser les formations dans des conditions optimales de coût et de qualité de service;5570.0;P142-2-1;Coût unitaire de formation par étudiant pour l'Etat (cursus de référence);Contribuable;23494.0;Coût unitaire de formation par étudiant pour l'Etat (cursus de référence);NS;€;14000.0;;donnée non renseignée;
2024.0;Programme;Cohésion des territoires;135.0;Urbanisme, territoires et amélioration de l'habitat;P135-1;Satisfaire dans les meilleurs délais la demande de logements locatifs, en particulier dans les zones tendues et pour les demandeurs aux ressources les plus faibles;940.0;P135-1-1;Fluidité du parc de logements sociaux;Citoyen;12536.0;Tension de la demande sur le logement social;;;;;;
2023.0;Programme;Cohésion des territoires;147.0;Politique de la ville;P147-2;Améliorer l'encadrement éducatif et les chances de réussite scolaire des élèves les plus en difficulté;1220.0;P147-2-1;Évolution des chances de réussite scolaire des élèves scolarisés dans un quartier prioritaire de la politique de la ville (QPV);Citoyen;30876.0;Ecart du taux de réussite, par genre, au brevet des collèges des élèves scolarisés en collège REP+ dans un QPV;;points;9.0;10.0;absence amélioration;
2023.0;Mission;Santé;;;MSA-1;Améliorer l'état de santé de la population et réduire les inégalités territoriales et sociales de santé;5860.0;MSA-1-2;Espérance de vie en bonne santé;Citoyen;25563.0;1. Hommes;;année;11.0;;donnée non renseignée;
2023.0;Programme;Solidarité, insertion et égalité des chances;157.0;Handicap et dépendance;P157-1;Accroître l'effectivité et la qualité des décisions prises au sein des MDPH;7480.0;P157-1-2;Qualité des décisions de la commission des droits et de l'autonomie (CDAPH) des maisons départementales des personnes handicapées (MDPH) dans le cadre d'un renouvellement;Usager;30516.0;Ecart type des taux départementaux des accords sur décision de renouvellement d'allocation aux adultes handicapés (AAH2) pour mille habitants de 20 à 62 ans;;%;2.5;1.9;absence amélioration;
2022.0;Programme;Justice;107.0;Administration pénitentiaire;P107-2;Améliorer les conditions de détention des personnes sous main de justice ainsi que les conditions de travail des personnels pénitentiaires;4500.0;P107-2-4;Taux d'occupation des structures dédiées au maintien des liens familiaux;Citoyen;11217.0;Taux d’occupation des UVF;NS;%;65.0;47.8;amélioration;
2022.0;Programme;Aide publique au développement;209.0;Solidarité à l'égard des pays en développement;P209-3;Faire valoir les priorités stratégiques françaises dans l'aide publique acheminée par les canaux européens;800.0;P209-3-1;Part des versements du FED sur les priorités stratégiques françaises;Citoyen;30072.0;Part des versements du FED pour la santé;NS;%;8.32;3.78;absence amélioration;
2023.0;Programme;Écologie, développement et mobilité durables;205.0;Affaires maritimes, pêche et aquaculture;P205-2;Promouvoir la flotte de commerce et l'emploi maritime;2520.0;P205-2-2;Evolution de l'emploi et de la flotte de commerce maritime;Citoyen;6382.0;Evolution du nombre de marins français (employés sur un navire battant pavillon français);;Nb;14000.0;15621.0;cible atteinte;
2024.0;Programme;Défense;212.0;Soutien de la politique de la défense;P212-1;Réussir la transformation du ministère et garantir les grands équilibres portés par la LPM;1935.0;P212-1-2;Taux de renouvellement des emplois primo-contractuels - Armées;Contribuable;30005.0;Armée de Terre – Officiers;;%;95.0;95.0;cible atteinte;
2022.0;Programme;Avances à l'audiovisuel public;847.0;TV5 Monde;P847-2;Développer la présence française et francophone dans le paysage audiovisuel mondial;8190.0;P847-2-2;Audience des offres numériques;Citoyen;23425.0;Fréquentation des environnements nouveaux médias;NS;visite en M/mois;;9.6;cible atteinte;
2023.0;Programme;Action extérieure de l'État;185.0;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;210.0;P185-2-2;Attractivité de la France en termes d'investissements;Citoyen;25912.0;Nombre de visites d'investisseurs auxquelles les Ambassades et BF ont contribué / nombre d'investisseurs rencontrés;;%;29.0;27.3;amélioration;
2023.0;Programme;Direction de l'action du Gouvernement;308.0;Protection des droits et libertés;P308-1;Défendre et protéger efficacement les droits et les libertés;2240.0;P308-1-1;Nombre de dossiers et de réclamations traités par an et par ETP d'agent traitant;Contribuable;24988.0;Nombre de sollicitations électroniques traitées par an et par un ETP d’agent du service des relations avec les publics de la CNIL;;Nb;1900.0;1810.0;absence amélioration;
2024.0;Programme;Enseignement scolaire;139.0;Enseignement privé du premier et du second degrés;P139-1;Conduire tous les élèves à la maîtrise des connaissances et compétences du socle commun au terme de la scolarité primaire;3480.0;P139-1-2;"Proportion d'élèves maîtrisant, en fin de sixième, les principales composantes du domaine 1 ""les langages pour penser et communiquer"" du socle commun";Citoyen;10199.0;Comprendre, s'exprimer en utilisant les langages mathématiques, scientifiques et informatiques (domaine 1);;%;88.0;82.7;absence amélioration;
2024.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-1;Evaluer la prévention et l'activité répressive des forces de sécurité;6160.0;P152-1-1;Evolution du nombre de crimes et délits et de victimes en matière d'atteintes volontaires à l'intégrité physique (AVIP) constatés en zone gendarmerie;Citoyen;30113.0;Taux de criminalité (nombre de victimes de violences physiques non crapuleuses et violences sexuelles) pour 1000 habitants;;‰;;6.88;absence amélioration;
2023.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-3;Optimiser l'emploi des forces mobiles;6240.0;P152-3-1;Engagement des forces mobiles;Citoyen;7881.0;Part d'engagement des forces mobiles en prévention de proximité;;%;;9.84;amélioration;
2023.0;Programme;Justice;107.0;Administration pénitentiaire;P107-2;Améliorer les conditions de détention des personnes sous main de justice ainsi que les conditions de travail des personnels pénitentiaires;4480.0;P107-2-2;Taux de personnes détenues benéficiant d'une cellule individuelle;Citoyen;30147.0;Taux de personnes détenues bénéficiant d'une cellule individuelle;;%;43.0;38.9;absence amélioration;
2022.0;Programme;Justice;310.0;Conduite et pilotage de la politique de la justice;P310-1;Optimiser la qualité et l'efficience des fonctions de soutien;4670.0;P310-1-4;Respect des coûts et des délais des grands projets informatiques;Contribuable;24044.0;Taux d'écart budgétaire agrégé;NS;%;28.8;32.89;cible atteinte;
