nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Transition écologique, énergie, climat et prévention des risques;36.669346866200016;2.2210082425;0.735665458;0.353309;
Services du Premier ministre;9.555597382879998;0.13870176859;;;
Europe et affaires étrangères;6.08546320348;;;;
Intérieur;35.255538065940016;;0.367403616;;
Agriculture, souveraineté alimentaire et forêt;6.601008749620001;;0.14363371219999999;;
Budget et comptes publics;234.37065099264996;;78.39985411145999;140.82773825;
Armées et anciens combattants;60.46040897815998;;;;
Culture;4.57627396956;;;;
Transition énergétique;11.53851882;;0.3565264336;;
Éducation nationale;85.48837985657998;;;;
Justice;11.826771270679998;;;;
Enseignement supérieur et recherche;26.099175079;;;;
Santé et accès aux soins;2.8027711198500005;;;;
Solidarités, autonomie et égalité entre les femmes et les hommes;30.929734782639997;;;;
Sports, jeunesse et vie associative;0.7751224365;;;;
Fonction publique, simplification et transformation de l'action publique;0.51474201057;;;;
Travail et emploi;21.43208742292;;;;
