nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Contrôle et exploitation aériens;;2.318452576;;;
Publications officielles et information administrative;;0.14142707694999998;;;
Action extérieure de l'État;3.3020620695800003;;;;
Administration générale et territoriale de l'État;5.297117414160001;;;;
Agriculture, alimentation, forêt et affaires rurales;5.171673727499999;;;;
Aide publique au développement;4.757841524;;;;
Anciens combattants, mémoire et liens avec la Nation;1.9727079884399998;;;;
Cohésion des territoires;18.69594059908;;;;
Conseil et contrôle de l'État;0.8167591218;;;;
Culture;4.11731813506;;;;
Défense;60.210943752839995;;;;
Direction de l'action du Gouvernement;0.97550401565;;;;
Écologie, développement et mobilité durables;25.89540532166;;;;
Économie;5.16325616629;;;;
Engagements financiers de l'État;52.112688674;;;;
Enseignement scolaire;86.56417417043001;;;;
Gestion des finances publiques;10.65520895887;;;;
Immigration, asile et intégration;1.8692985352;;;;
Investir pour la France de 2030;0.652136512;;;;
Justice;12.87574834826;;;;
Médias, livre et industries culturelles;0.7076408616000001;;;;
Outre-mer;3.1166622095000003;;;;
Plan de relance;-1.27339350186;;;;
Pouvoirs publics;1.1573767;;;;
Recherche et enseignement supérieur;31.496092248380005;;;;
Régimes sociaux et de retraite;6.0636137863;;;;
Relations avec les collectivités territoriales;3.9290980322599998;;;;
Remboursements et dégrèvements;146.5287863518;;;;
Santé;2.84250824276;;;;
Sécurités;25.448613377000004;;;;
Solidarité, insertion et égalité des chances;30.959501295739997;;;;
Sport, jeunesse et vie associative;1.48325184548;;;;
Transformation et fonction publiques;0.7799322700699999;;;;
Travail et emploi;20.758807776509997;;;;
Contrôle de la circulation et du stationnement routiers;;;1.818171279;;
Développement agricole et rural;;;0.1562291066;;
Financement des aides aux collectivités pour l'électrification rurale;;;0.35662136580000003;;
Gestion du patrimoine immobilier de l'État;;;0.26652014309;;
Participations financières de l'État;;;9.501284278;;
Pensions;;;67.88521100443002;;
Avances à l'audiovisuel public;;;;3.9760592;
Avances aux collectivités territoriales;;;;128.11125585;
Prêts à des États étrangers;;;;0.5096452;
Prêts et avances à des particuliers ou à des organismes privés;;;;0.79115;
Prêts et avances à divers services de l'État ou organismes gérant des services publics;;;;7.816837;
