nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Contrôle et exploitation aériens;;2.2210082425;;;
Publications officielles et information administrative;;0.13870176859;;;
Action extérieure de l'État;3.28854897348;;;;
Administration générale et territoriale de l'État;4.66200704494;;;;
Agriculture, alimentation, forêt et affaires rurales;4.4983167905200006;;;;
Aide publique au développement;4.8223276293;;;;
Anciens combattants, mémoire et liens avec la Nation;1.9591581045799997;;;;
Cohésion des territoires;18.4971192443;;;;
Conseil et contrôle de l'État;0.8607403604;;;;
Culture;3.86473462796;;;;
Défense;58.42817924647998;;;;
Direction de l'action du Gouvernement;1.0166982523800001;;;;
Écologie, développement et mobilité durables;24.232005415500005;;;;
Économie;5.103910131859999;;;;
Engagements financiers de l'État;58.7646412874;;;;
Enseignement scolaire;86.39748216310001;;;;
Gestion des finances publiques;10.59514766314;;;;
Immigration, asile et intégration;2.1907235681999997;;;;
Investir pour la France de 2030;6.270578112;;;;
Justice;11.826771270679998;;;;
Médias, livre et industries culturelles;0.7115393416;;;;
Outre-mer;2.91699439243;;;;
Plan de relance;2.2356542581700003;;;;
Pouvoirs publics;1.1573767;;;;
Recherche et enseignement supérieur;30.986370348980003;;;;
Régimes sociaux et de retraite;6.0636137863;;;;
Relations avec les collectivités territoriales;3.89467007;;;;
Remboursements et dégrèvements;146.5235313918;;;;
Santé;2.8027711198500005;;;;
Sécurités;25.485813060370003;;;;
Solidarité, insertion et égalité des chances;31.030795887239996;;;;
Sport, jeunesse et vie associative;1.5476392527800003;;;;
Transformation et fonction publiques;0.9136440885699999;;;;
Travail et emploi;21.43208742292;;;;
Contrôle de la circulation et du stationnement routiers;;;1.818207074;;
Développement agricole et rural;;;0.14363371219999999;;
Financement des aides aux collectivités pour l'électrification rurale;;;0.3565264336;;
Gestion du patrimoine immobilier de l'État;;;0.29822082903;;
Participations financières de l'État;;;9.501284278;;
Pensions;;;67.88521100443002;;
Avances à l'audiovisuel public;;;;3.9760592;
Avances aux collectivités territoriales;;;;128.11125585;
Prêts à des États étrangers;;;;0.6251862;
Prêts et avances à des particuliers ou à des organismes privés;;;;0.651709;
Prêts et avances à divers services de l'État ou organismes gérant des services publics;;;;7.816837;
