nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Transition écologique, énergie, climat et prévention des risques;38.022724467269995;2.318452576;0.737115458;0.5;
Services du Premier ministre;3.83881081128;0.14142707694999998;;;
Europe et affaires étrangères;6.04757101358;;;;
Intérieur;35.73169153586001;;0.365917821;;
Agriculture, souveraineté alimentaire et forêt;7.277682961599999;;0.1562291066;;
Budget et comptes publics;224.24426037412;;78.36815342551999;140.70494725;
Armées et anciens combattants;62.25685779138;;;;
Culture;4.8249589966599995;;;;
Transition énergétique;11.9415109606;;0.35662136580000003;;
Éducation nationale;85.65098515490999;;;;
Justice;12.87574834826;;;;
Enseignement supérieur et recherche;26.78745408136;;;;
Santé et accès aux soins;2.84250824276;;;;
Solidarités, autonomie et égalité entre les femmes et les hommes;30.858660199939994;;;;
Sports, jeunesse et vie associative;0.7136107232000001;;;;
Fonction publique, simplification et transformation de l'action publique;0.43043309107;;;;
Travail et emploi;20.758807776509997;;;;
