nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Partenariat avec les territoires et décentralisation;17.553562690689997;2.3683006611999997;0.778797372;;
Services du Premier ministre;2.42625079059;0.13855853781;;;
Europe et affaires étrangères;5.462757541379999;;;;
Intérieur;32.444881703739995;;0.35790653481;;
Agriculture, souveraineté alimentaire et forêt;5.904633810719999;;0.157900162;;
Économie, finances et industrie;61.34828918425;;3.39882906;7.05774;
Armées et anciens combattants;82.4921816152;;;;
Logement et rénovation urbaine;23.451413949009993;;;;
Culture;4.56392384671;;;;
Transition écologique, énergie, climat et prévention des risques;15.370030670110001;;0.3683075177;;
Éducation nationale;86.00294218753999;;;;
Budget et comptes publics;158.87061277809997;;70.45481934722;133.897150012;
Justice;11.70103861444;;;;
Outre-Mer;3.36330095871;;;;
Enseignement supérieur et recherche;26.738238501;;;;
Santé et accès aux soins;1.4788469963;;;;
Solidarités, autonomie et égalité entre les femmes et les hommes;30.85620281378999;;;;
Sports, jeunesse et vie associative;1.3334830798800001;;;;
Fonction publique, simplification et transformation de l'action publique;0.33930244114999997;;;;
Travail et emploi;19.65020025438;;;;
