nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Partenariat avec les territoires et décentralisation;17.611438227439994;2.3009782662;0.778345372;0.200803;
Services du Premier ministre;5.4376391355900004;0.14127428117000002;;;
Europe et affaires étrangères;5.982241289479999;;;;
Intérieur;32.633266421719995;;0.3568237038;;
Agriculture, souveraineté alimentaire et forêt;6.153779117219998;;0.138695389;;
Économie, finances et industrie;60.56616275154;;3.39882906;7.947559;
Armées et anciens combattants;64.03678558099;;;;
Logement et rénovation urbaine;23.187940655109998;;;;
Culture;4.5610324775;;;;
Transition écologique, énergie, climat et prévention des risques;15.22999596708;;0.37456455159999996;;
Éducation nationale;86.05759866903001;;;;
Budget et comptes publics;160.19442193491997;;70.33364397532;133.897150012;
Justice;12.380280664730002;;;;
Outre-Mer;3.04116500451;;;;
Enseignement supérieur et recherche;26.42209795446;;;;
Santé et accès aux soins;1.5375930153;;;;
Solidarités, autonomie et égalité entre les femmes et les hommes;30.856944081859996;;;;
Sports, jeunesse et vie associative;1.3508904929;;;;
Fonction publique, simplification et transformation de l'action publique;0.35342885297;;;;
Travail et emploi;20.45192775724;;;;
