nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Contrôle et exploitation aériens;;2.3009782662;;;
Publications officielles et information administrative;;0.14127428117000002;;;
Action extérieure de l'État;3.3779693502799994;;;;
Administration générale et territoriale de l'État;4.78609819199;;;;
Agriculture, alimentation, forêt et affaires rurales;4.0513290064000005;;;;
Aide publique au développement;4.2029861192;;;;
Anciens combattants, mémoire et liens avec la Nation;1.85011942992;;;;
Cohésion des territoires;23.70597408381;;;;
Conseil et contrôle de l'État;0.8642497753399999;;;;
Culture;3.8675446669;;;;
Défense;62.12372321917;;;;
Direction de l'action du Gouvernement;1.07147886965;;;;
Écologie, développement et mobilité durables;26.11071146162;;;;
Économie;3.7836792932399996;;;;
Engagements financiers de l'État;53.179825899300006;;;;
Enseignement scolaire;87.74589563962002;;;;
Gestion des finances publiques;10.6950862006;;;;
Immigration, asile et intégration;2.0581435386;;;;
Investir pour la France de 2030;3.3016522465;;;;
Justice;12.380280664730002;;;;
Médias, livre et industries culturelles;0.6934878106;;;;
Outre-mer;3.04116500451;;;;
Plan de relance;1.4863642513400002;;;;
Pouvoirs publics;1.1378427;;;;
Recherche et enseignement supérieur;30.58681892169;;;;
Régimes sociaux et de retraite;6.0707653941;;;;
Relations avec les collectivités territoriales;3.9301857322000004;;;;
Remboursements et dégrèvements;141.36417113398;;;;
Santé;1.5375930153;;;;
Sécurités;25.789024691130003;;;;
Solidarité, insertion et égalité des chances;30.856944081859996;;;;
Sport, jeunesse et vie associative;1.3508904929;;;;
Transformation et fonction publiques;0.59270140787;;;;
Travail, emploi et administration des ministères sociaux;20.45192775724;;;;
Contrôle de la circulation et du stationnement routiers;;;1.8639430758;;
Développement agricole et rural;;;0.138695389;;
Financement des aides aux collectivités pour l'électrification rurale;;;0.37456455159999996;;
Gestion du patrimoine immobilier de l'État;;;0.2675951116;;
Participations financières de l'État;;;3.39882906;;
Pensions;;;69.33727486372;;
Avances à l'audiovisuel public;;;;3.9595833;
Avances aux collectivités territoriales et aux collectivités régies par les articles 73, 74 et 76 de la Constitution;;;;129.937566712;
Prêts à des États étrangers;;;;0.879179;
Prêts et avances à des particuliers ou à des organismes privés;;;;0.360453;
Prêts et avances à divers services de l'État ou organismes gérant des services publics;;;;6.90873;
