nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Contrôle et exploitation aériens;;2.3683006611999997;;;
Publications officielles et information administrative;;0.13855853781;;;
Action extérieure de l'État;3.34995380618;;;;
Administration générale et territoriale de l'État;4.485239078729999;;;;
Agriculture, alimentation, forêt et affaires rurales;3.8017062666000005;;;;
Aide publique au développement;3.6241405051999998;;;;
Anciens combattants, mémoire et liens avec la Nation;1.84466234792;;;;
Cohésion des territoires;23.857988639309994;;;;
Conseil et contrôle de l'État;0.79007999494;;;;
Culture;3.86421040811;;;;
Défense;80.58455559337999;;;;
Direction de l'action du Gouvernement;1.05828564115;;;;
Écologie, développement et mobilité durables;26.42554664674;;;;
Économie;4.87946919325;;;;
Engagements financiers de l'État;53.0017017266;;;;
Enseignement scolaire;87.69020295143;;;;
Gestion des finances publiques;10.76283081402;;;;
Immigration, asile et intégration;1.8772133206;;;;
Investir pour la France de 2030;0.4115787739;;;;
Justice;11.70103861444;;;;
Médias, livre et industries culturelles;0.6997134386;;;;
Outre-mer;3.36330095871;;;;
Plan de relance;-0.1325169319;;;;
Pouvoirs publics;1.1378427;;;;
Recherche et enseignement supérieur;30.82614702763;;;;
Régimes sociaux et de retraite;6.0707653941;;;;
Relations avec les collectivités territoriales;3.8052015262600003;;;;
Remboursements et dégrèvements;141.36486295397998;;;;
Santé;1.4788469963;;;;
Sécurités;26.08242930441;;;;
Solidarité, insertion et égalité des chances;30.85620281378999;;;;
Sport, jeunesse et vie associative;1.3334830798800001;;;;
Transformation et fonction publiques;0.8052105890499999;;;;
Travail, emploi et administration des ministères sociaux;19.65020025438;;;;
Contrôle de la circulation et du stationnement routiers;;;1.86547790681;;
Développement agricole et rural;;;0.157900162;;
Financement des aides aux collectivités pour l'électrification rurale;;;0.3683075177;;
Gestion du patrimoine immobilier de l'État;;;0.3887704835;;
Participations financières de l'État;;;3.39882906;;
Pensions;;;69.33727486372;;
Avances à l'audiovisuel public;;;;3.9595833;
Avances aux collectivités territoriales et aux collectivités régies par les articles 73, 74 et 76 de la Constitution;;;;129.937566712;
Prêts à des États étrangers;;;;0.01881;
Prêts et avances à des particuliers ou à des organismes privés;;;;0.1302;
Prêts et avances à divers services de l'État ou organismes gérant des services publics;;;;6.90873;
