nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Justice;12.589503218;;;;
Travail, emploi et administration des ministères sociaux;20.026682672;;;;
Immigration, asile et intégration;2.20901264;;;;
Action extérieure de l'État;3.449453544;;;;
Cohésion des territoires;22.453315943;;;;
Aide publique au développement;4.32643361;;;;
Écologie, développement et mobilité durables;25.420990547;;;;
Engagements financiers de l'État;60.1625296;;;;
Relations avec les collectivités territoriales;3.78841015;;;;
Outre-mer;3.552528146;;;;
Conseil et contrôle de l'État;0.833454433;;;;
Direction de l'action du Gouvernement;1.020763203;;;;
Culture;3.753178383;;;;
Économie;3.658523042;;;;
Solidarité, insertion et égalité des chances;31.277764173;;;;
Enseignement scolaire;89.60018784;;;;
Recherche et enseignement supérieur;32.07264488;;;;
Défense;92.828492567;;;;
Transformation et fonction publiques;0.537212977;;;;
Agriculture, alimentation, forêt et affaires rurales;4.088479565;;;;
Sécurités;26.477794581;;;;
Gestion des finances publiques;11.154829316;;;;
Monde combattant, mémoire et liens avec la Nation;1.722607185;;;;
Sport, jeunesse et vie associative;1.609484629;;;;
Médias, livre et industries culturelles;0.720520848;;;;
Santé;1.884803247;;;;
Régimes sociaux et de retraite;6.067882803;;;;
Remboursements et dégrèvements;145.60032;;;;
Administration générale et territoriale de l'État;4.996177734;;;;
Investir pour la France de 2030;0.45;;;;
Pouvoirs publics;1.1401798;;;;
Crédits non répartis;0.775;;;;
Contrôle et exploitation aériens;;2.545535736;;;
Publications officielles et information administrative;;0.14569435;;;
Gestion du patrimoine immobilier de l'État;;;0.204;;
Participations financières de l'État;;;5.38369;;
Pensions;;;69.929568343;;
Contrôle de la circulation et du stationnement routiers;;;1.9286996;;
Développement agricole et rural;;;0.171;;
Financement des aides aux collectivités pour l'électrification rurale;;;0.3583;;
Prêts et avances à divers services de l'État ou organismes gérant des services publics;;;;9.295;
Avances aux collectivités territoriales et aux collectivités régies par les articles 73, 74 et 76 de la Constitution;;;;135.90174;
Avances à l'audiovisuel public;;;;3.8633165;
Prêts à des États étrangers;;;;0.811793;
Prêts et avances à des particuliers ou à des organismes privés;;;;0.36505;
